[2025-02-03 17:49:02,673 web_scraper.py->download_image():434]INFO: Downloaded: 27_1726836476442.png
[2025-02-03 17:49:02,747 web_scraper.py->download_image():434]INFO: Downloaded: 27_1726836476705.png
[2025-02-03 17:49:02,784 web_scraper.py->download_image():434]INFO: Downloaded: 27_1726836476720.png
[2025-02-03 17:49:02,786 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:49:02,786 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:49:02,787 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:49:02,788 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:49:02,790 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:02,790 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:02,790 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:02,791 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:02,791 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:02,827 web_scraper.py->download_image():434]INFO: Downloaded: 29_1725604186741.png
[2025-02-03 17:49:02,860 web_scraper.py->download_image():434]INFO: Downloaded: 29_1725604185076.png
[2025-02-03 17:49:02,892 web_scraper.py->download_image():434]INFO: Downloaded: 29_1725604185534.png
[2025-02-03 17:49:02,928 web_scraper.py->download_image():434]INFO: Downloaded: 29_1725604185742.png
[2025-02-03 17:49:02,928 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:49:02,929 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:49:02,930 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:49:02,930 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:49:02,931 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:02,931 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:02,932 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:02,932 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:02,933 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:02,971 web_scraper.py->download_image():434]INFO: Downloaded: 31_1723197874732.png
[2025-02-03 17:49:03,002 web_scraper.py->download_image():434]INFO: Downloaded: 31_1723197874939.png
[2025-02-03 17:49:03,039 web_scraper.py->download_image():434]INFO: Downloaded: 31_1723197875671.png
[2025-02-03 17:49:03,073 web_scraper.py->download_image():434]INFO: Downloaded: 31_1723197875410.png
[2025-02-03 17:49:03,074 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:49:03,075 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:49:03,076 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:49:03,076 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:49:03,076 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,077 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,077 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,077 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,077 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,121 web_scraper.py->download_image():434]INFO: Downloaded: 33_1722603743213.png
[2025-02-03 17:49:03,154 web_scraper.py->download_image():434]INFO: Downloaded: 33_1722603743030.png
[2025-02-03 17:49:03,186 web_scraper.py->download_image():434]INFO: Downloaded: 33_1722603743360.png
[2025-02-03 17:49:03,230 web_scraper.py->download_image():434]INFO: Downloaded: 33_1722603742185.png
[2025-02-03 17:49:03,232 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:49:03,233 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:49:03,234 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:49:03,234 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:49:03,235 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,235 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,235 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,235 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,235 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,269 web_scraper.py->download_image():434]INFO: Downloaded: 35_1721982010305.png
[2025-02-03 17:49:03,304 web_scraper.py->download_image():434]INFO: Downloaded: 35_1721982010343.png
[2025-02-03 17:49:03,338 web_scraper.py->download_image():434]INFO: Downloaded: 35_1721982010111.png
[2025-02-03 17:49:03,376 web_scraper.py->download_image():434]INFO: Downloaded: 35_1721982010284.png
[2025-02-03 17:49:03,377 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:49:03,378 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:49:03,379 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:49:03,379 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:49:03,380 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,380 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,416 web_scraper.py->download_image():434]INFO: Downloaded: 37_1734960306940.png
[2025-02-03 17:49:03,417 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:49:03,418 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:49:03,418 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:49:03,418 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:49:03,419 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,419 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,420 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,420 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,420 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,455 web_scraper.py->download_image():434]INFO: Downloaded: 39_1721380723481.png
[2025-02-03 17:49:03,498 web_scraper.py->download_image():434]INFO: Downloaded: 39_1721380723645.png
[2025-02-03 17:49:03,535 web_scraper.py->download_image():434]INFO: Downloaded: 39_1721380723696.png
[2025-02-03 17:49:03,569 web_scraper.py->download_image():434]INFO: Downloaded: 39_1721380723655.png
[2025-02-03 17:49:03,570 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:49:03,571 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:49:03,571 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:49:03,572 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:49:03,573 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,573 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,573 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,573 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,573 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,607 web_scraper.py->download_image():434]INFO: Downloaded: 41_1721048271403.png
[2025-02-03 17:49:03,637 web_scraper.py->download_image():434]INFO: Downloaded: 41_1721048271355.png
[2025-02-03 17:49:03,672 web_scraper.py->download_image():434]INFO: Downloaded: 41_1721048271200.png
